phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
7497518,https://tokens.native-metamask-io-2.cf/dce58872377e034aa52d8565/?metamask=https%3A%2F%2Fwww.metamask.io%2Fverifications%2Frecovery%2F07586ac4-68c0-4cae-8140-9db21af65cba,http://www.phishtank.com/phish_detail.php?phish_id=7497518,2022-04-25T05:10:21+00:00,yes,2022-04-25T05:12:07+00:00,yes,Other
7497513,https://webmail-ionos-f.herokuapp.com/,http://www.phishtank.com/phish_detail.php?phish_id=7497513,2022-04-25T04:55:17+00:00,yes,2022-04-25T05:09:40+00:00,yes,Other
7497511,https://epy-aave.com/,http://www.phishtank.com/phish_detail.php?phish_id=7497511,2022-04-25T04:51:40+00:00,yes,2022-04-25T04:52:59+00:00,yes,Other
7497509,https://ronin-chain.net/,http://www.phishtank.com/phish_detail.php?phish_id=7497509,2022-04-25T04:46:04+00:00,yes,2022-04-25T04:52:59+00:00,yes,Other
7497505,http://homeconnectwalletpancakeswap.diskstation.org,http://www.phishtank.com/phish_detail.php?phish_id=7497505,2022-04-25T04:32:26+00:00,yes,2022-04-25T04:41:37+00:00,yes,Other
7497502,https://wallet-connectx.com/wallets,http://www.phishtank.com/phish_detail.php?phish_id=7497502,2022-04-25T04:23:17+00:00,yes,2022-04-25T04:32:16+00:00,yes,Other
7497498,http://schweizerische.highsuccess.de/,http://www.phishtank.com/phish_detail.php?phish_id=7497498,2022-04-25T03:35:16+00:00,yes,2022-04-25T03:42:25+00:00,yes,Other
7497497,https://www.au-asceosencsoen.qostzfz.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7497497,2022-04-25T03:23:51+00:00,yes,2022-04-25T03:42:25+00:00,yes,KDDI
7497496,https://www.au-asceosencsoen.faogzdh.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7497496,2022-04-25T03:23:46+00:00,yes,2022-04-25T03:42:25+00:00,yes,KDDI
7497495,https://www.au-asceosencsoen.yicothv.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7497495,2022-04-25T03:23:40+00:00,yes,2022-04-25T05:09:40+00:00,yes,KDDI
7497494,https://www.au-asceosencsoen.vvbntsb.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7497494,2022-04-25T03:23:35+00:00,yes,2022-04-25T05:09:40+00:00,yes,KDDI
7497493,https://www.au-asceosencsoen.kmcfmeh.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7497493,2022-04-25T03:23:31+00:00,yes,2022-04-25T05:09:40+00:00,yes,KDDI
7497492,https://www.au-asceosencsoen.mwxjdjm.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7497492,2022-04-25T03:23:25+00:00,yes,2022-04-25T05:09:40+00:00,yes,KDDI
7497491,https://www.au-asceosencsoen.nulndcn.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7497491,2022-04-25T03:23:20+00:00,yes,2022-04-25T03:42:25+00:00,yes,KDDI
7497490,https://www.au-asceosencsoen.tlxgtdi.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7497490,2022-04-25T03:23:14+00:00,yes,2022-04-25T05:09:40+00:00,yes,KDDI
7497489,https://www.au-asceosencsoen.obgszxp.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7497489,2022-04-25T03:23:09+00:00,yes,2022-04-25T05:09:40+00:00,yes,KDDI
7497488,https://www.au-asceosencsoen.mxtvbmm.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7497488,2022-04-25T03:23:04+00:00,yes,2022-04-25T05:09:40+00:00,yes,KDDI
7497487,https://www.au-asceosencsoen.zifdrrn.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7497487,2022-04-25T03:22:58+00:00,yes,2022-04-25T05:09:40+00:00,yes,KDDI
7497486,https://www.au-asceosencsoen.bativzo.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7497486,2022-04-25T03:22:52+00:00,yes,2022-04-25T05:09:40+00:00,yes,KDDI
7497485,https://www.au-asceosencsoen.hffukqa.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7497485,2022-04-25T03:22:46+00:00,yes,2022-04-25T05:09:40+00:00,yes,KDDI
7497484,https://www.au-asceosencsoen.uofzcfq.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7497484,2022-04-25T03:22:41+00:00,yes,2022-04-25T05:09:40+00:00,yes,KDDI
7497483,https://www.au-asceosencsoen.dckpehn.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7497483,2022-04-25T03:22:35+00:00,yes,2022-04-25T05:09:40+00:00,yes,KDDI
7497482,https://www.au-asceosencsoen.tazsesy.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7497482,2022-04-25T03:22:29+00:00,yes,2022-04-25T05:09:40+00:00,yes,KDDI
